cruise;day;st;Longitude;Latitude;presion;depth;temp;sal;fluo;turb;par;oxig;PARsurf
ENVIII;7;31;9.0395;42;-36;35.714;12.5601;35.6203;1.6616;0.3283;8.69E-02;7.07731;4.85E+02
ENVIII;7;31;9.0395;42;-37;36.706;12.5281;35.62;1.4814;0.3446;7.81E-02;7.0439;4.83E+02
ENVIII;7;31;9.0395;42;-38;37.698;12.4935;35.6189;1.1589;0.3169;6.44E-02;7.06225;4.82E+02
ENVIII;7;31;9.0395;42;-39;38.69;12.4667;35.6172;1.152;0.3109;5.22E-02;7.07722;4.84E+02
ENVIII;7;31;9.0395;42;-40;39.682;12.4472;35.6163;1.0856;0.3286;4.57E-02;7.06625;4.84E+02
ENVIII;7;31;9.0395;42;-41;40.674;12.4269;35.6162;0.8737;0.2877;3.73E-02;7.06915;4.84E+02
ENVIII;7;31;9.0395;42;-42;41.666;12.4229;35.6164;0.7277;0.285;3.10E-02;7.06638;4.86E+02
ENVIII;7;31;9.0395;42;-43;42.658;12.4231;35.6166;0.5724;0.262;2.37E-02;7.06993;4.86E+02
ENVIII;7;31;9.0395;42;-44;43.65;12.419;35.618;0.5461;0.2814;1.49E-02;7.05527;4.86E+02
ENVIII;7;31;9.0395;42;-45;44.641;12.3955;35.6181;0.4871;0.2294;1.04E-02;7.08525;4.85E+02
ENVIII;7;31;9.0395;42;-46;45.634;12.3767;35.6168;0.5229;0.2615;3.31E-03;7.07771;4.86E+02
ENVIII;7;31;9.0395;42;-47;46.625;12.3675;35.6148;0.3871;0.2711;9.11E-04;7.05962;4.86E+02
ENVIII;7;31;9.0395;42;-48;47.617;12.3452;35.6129;0.3525;0.2519;-3.16E-05;7.01145;4.87E+02
ENVIII;7;31;9.0395;42;-49;48.609;12.3438;35.6128;0.3115;0.262;1.00E-12;6.99692;4.88E+02
ENVIII;7;31;9.0395;42;-50;49.601;12.3426;35.6126;0.3209;0.2472;1.00E-12;6.98602;4.88E+02
ENVIII;7;31;9.0395;42;-51;50.593;12.3336;35.6134;0.2891;0.2401;1.00E-12;6.98162;4.88E+02
ENVIII;7;31;9.0395;42;-52;51.585;12.319;35.6142;0.2226;0.2523;1.00E-12;6.97166;4.87E+02
ENVIII;7;31;9.0395;42;-53;52.577;12.3079;35.6143;0.2097;0.2552;1.00E-12;6.95058;4.87E+02
ENVIII;7;31;9.0395;42;-54;53.569;12.2896;35.614;0.2151;0.2316;1.00E-12;6.92252;4.86E+02
ENVIII;7;31;9.0395;42;-55;54.561;12.273;35.6139;0.1544;0.2282;1.00E-12;6.92695;4.87E+02
ENVIII;7;31;9.0395;42;-56;55.553;12.2605;35.6139;0.1199;0.2317;1.00E-12;6.92654;4.86E+02
ENVIII;7;31;9.0395;42;-57;56.544;12.2536;35.6141;0.0894;0.2487;1.00E-12;6.92252;4.87E+02
ENVIII;7;31;9.0395;42;-58;57.536;12.2499;35.6139;0.1203;0.2291;1.00E-12;6.91214;487.25
ENVIII;7;31;9.0395;42;-59;58.528;12.2423;35.6142;0.0909;0.238;1.00E-12;6.89915;486.78
ENVIII;7;31;9.0395;42;-60;59.52;12.2372;35.6142;0.0571;0.233;1.00E-12;6.89255;487.87
ENVIII;7;31;9.0395;42;-61;60.512;12.2249;35.6139;0.067;0.234;1.00E-12;6.87879;488.44
ENVIII;7;31;9.0395;42;-62;61.504;12.2172;35.6139;0.0377;0.2426;1.00E-12;6.87023;487.35
ENVIII;7;31;9.0395;42;-63;62.495;12.2098;35.6134;0.0134;0.2238;1.00E-12;6.86777;487.9
ENVIII;7;31;9.0395;42;-64;63.487;12.2068;35.6144;-0.0211;0.2259;1.00E-12;6.87508;487.78
ENVIII;7;31;9.0395;42;-65;64.479;12.1981;35.6143;0.0141;0.2092;1.00E-12;6.87948;487.62
ENVIII;7;31;9.0395;42;-66;65.471;12.1847;35.6135;-0.0073;0.2064;1.00E-12;6.86228;487.03
ENVIII;7;31;9.0395;42;-67;66.463;12.1767;35.6126;-0.0175;0.2196;1.00E-12;6.90248;486.79
ENVIII;7;31;9.0395;42;-68;67.455;12.172;35.6125;-0.0196;0.2164;1.00E-12;6.92135;487.16
ENVIII;7;31;9.0395;42;-69;68.446;12.1668;35.6129;-0.0353;0.2116;1.00E-12;6.92835;486.51
ENVIII;7;31;9.0395;42;-70;69.438;12.1606;35.6139;-0.0596;0.2005;1.00E-12;6.9442;486.96
ENVIII;7;31;9.0395;42;-71;70.43;12.1567;35.6157;-0.0434;0.2122;1.00E-12;6.93622;486.41
ENVIII;7;31;9.0395;42;-72;71.422;12.1638;35.6197;-0.0695;0.2072;1.00E-12;6.91498;485.81
ENVIII;7;31;9.0395;42;-73;72.414;12.1673;35.621;-0.0547;0.2148;1.00E-12;6.88832;485.95
ENVIII;7;31;9.0395;42;-74;73.406;12.1675;35.6229;-0.0251;0.2357;1.00E-12;6.84402;486.51
ENVIII;7;31;9.0395;42;-75;74.397;12.17;35.6258;-0.0731;0.2143;1.00E-12;6.80487;486.06
ENVIII;7;31;9.0395;42;-76;75.389;12.1719;35.628;-0.0723;0.23;1.00E-12;6.78247;486.74
ENVIII;7;31;9.0395;42;-77;76.381;12.1739;35.6301;-0.0713;0.2228;1.00E-12;6.75202;486.29
ENVIII;7;31;9.0395;42;-78;77.373;12.1751;35.631;-0.0727;0.2336;1.00E-12;6.7307;486.6
ENVIII;7;31;9.0395;42;-79;78.364;12.1754;35.6322;-0.0812;0.2482;1.00E-12;6.71182;486.84
ENVIII;7;31;9.0395;42;-80;79.356;12.1734;35.635;-0.0565;0.2832;1.00E-12;6.68317;487.06
ENVIII;7;31;9.0395;42;-81;80.348;12.1725;35.6378;-0.058;0.3043;1.00E-12;6.59245;486.18
ENVIII;7;31;9.0395;42;-82;81.34;12.1732;35.6404;-0.0692;0.2943;1.00E-12;6.45802;488.51
ENVIII;7;31;9.0395;42;-83;82.331;12.1727;35.6424;-0.0813;0.2944;1.00E-12;6.40337;488.78
ENVIII;7;31;9.0395;42;-84;83.323;12.1705;35.643;-0.0822;0.3043;1.00E-12;6.3982;487.49
ENVIII;7;31;9.0395;42;-85;84.315;12.1715;35.6432;-0.0195;0.3126;1.00E-12;6.42406;488.75
ENVIII;7;31;9.0395;42;-86;85.307;12.1726;35.6434;-0.0762;0.2956;1.00E-12;6.43334;488.04
ENVIII;7;31;9.0395;42;-87;86.298;12.1715;35.6433;-0.0936;0.2946;1.00E-12;6.44437;489.01
ENVIII;7;31;9.0395;42;-88;87.29;12.1685;35.6435;-0.0855;0.2984;1.00E-12;6.44852;489.27
ENVIII;7;31;9.0395;42;-89;88.282;12.1674;35.6442;-0.0917;0.2943;1.00E-12;6.42895;489.42
ENVIII;7;31;9.0395;42;-90;89.273;12.1671;35.6448;-0.0908;0.3025;1.00E-12;6.4069;489.19
ENVIII;7;31;9.0395;42;-91;90.265;12.1663;35.6455;-0.0895;0.3064;1.00E-12;6.40563;488.15
ENVIII;7;31;9.0395;42;-92;91.257;12.1641;35.6471;-0.0898;0.3127;1.00E-12;6.42451;486.21
ENVIII;7;31;9.0395;42;-93;92.249;12.1465;35.6459;-0.0885;0.333;1.00E-12;6.43748;486.31
ENVIII;7;31;9.0395;42;-94;93.24;12.1164;35.6447;-0.0799;0.4148;1.00E-12;6.43313;486.78
ENVIII;7;31;9.0395;42;-95;94.232;12.0907;35.6432;-0.0623;0.5541;1.00E-12;6.36046;486.85
ENVIII;7;31;9.0395;42;-96;95.224;12.0803;35.6426;-0.0618;0.6946;1.00E-12;6.22858;487.38
ENVIII;7;31;9.0395;42;-97;96.215;12.0716;35.6418;-0.063;0.8006;1.00E-12;6.08506;487.95
ENVIII;7;31;9.0395;42;-98;97.207;12.0641;35.6412;-0.0592;0.8645;1.00E-12;5.98865;487.88
ENVIII;7;31;9.0395;42;-99;98.199;12.0594;35.6406;-0.0638;0.9224;1.00E-12;5.92182;487.46
ENVIII;7;31;9.0395;42;-100;99.19;12.0557;35.6404;-0.0691;0.9784;1.00E-12;5.8777;487.61
ENVIII;7;31;9.0395;42;-101;100.182;12.0538;35.64;-0.0574;1.0393;1.00E-12;5.83483;487.43
ENVIII;7;31;9.0395;42;-102;101.174;12.0523;35.6399;-0.0504;1.0256;1.00E-12;5.79878;488.08
ENVIII;7;31;9.0395;42;-103;102.165;12.0511;35.6396;-0.0469;1.0603;1.00E-12;5.77972;488.07
ENVIII;7;31;9.0395;42;-104;103.157;12.0513;35.6396;-0.0738;1.0694;1.00E-12;5.78334;489.9
ENVIII;7;31;9.0395;42;-105;104.149;12.0491;35.6394;-0.0509;1.1024;1.00E-12;5.78455;490.77
ENVIII;7;31;9.0395;42;-106;105.14;12.0485;35.6393;-0.0606;1.1455;1.00E-12;5.76829;490.77
ENVIII;7;31;9.0395;42;-107;106.132;12.0476;35.6392;-0.0394;1.1365;1.00E-12;5.75279;489.88
